Province_Name,Latitude,Longitude
Aceh,4.3685491,97.0253024
Sumatera Utara,2.1923519,99.3812201
Sumatera Barat,-0.5827529,100.6133379
Riau,1.0498079,101.6548433
Jambi,-1.7069965,102.7140041
Sumatera Selatan,-3.2193103,104.4075059
Bengkulu,-4.0035183,101.8393474
Lampung,-4.8555039,105.0272986
Kepulauan Bangka Belitung,-2.7052886,106.3585607
Kepulauan Riau,-0.1547846,104.5803745
DKI Jakarta,-6.1754049,106.827168
Jawa Barat,-6.8891904,107.6404716
Jawa Tengah,-7.3032412,110.0044145
DI Yogyakarta,-7.7953473,110.3672845
Jawa Timur,-7.6977397,112.4914199
Banten,-6.4453801,106.1375586
Bali,-8.2271303,115.1919203
Nusa Tenggara Barat,-8.7892855,117.146169
Nusa Tenggara Timur,-8.5656787,120.6978581
Kalimantan Barat,-0.1322387,111.0968901
Kalimantan Tengah,-1.499583,113.2903307
Kalimantan Selatan,-2.9285686,115.3700718
Kalimantan Timur,0.7884397,116.2419977
Kalimantan Utara,3.0235817,116.2049306
Sulawesi Utara,0.6555692,124.090151
Sulawesi Tengah,-1.6937786,120.8088555
Sulawesi Selatan,-3.6446718,119.9471906
Sulawesi Tenggara,-3.5491199,121.7279646
Gorontalo,0.7186174,122.4555927
Sulawesi Barat,-2.4974546,119.3918955
Maluku,-3.4593849,126.656549
Maluku Utara,0.6301215,127.9720219
Papua Barat,-2.8553556,133.4738171
Papua,-2.4749149,138.08485
